cod_mun,municipio_residencia,regiao_saude_residencia,tratado,medicos_pmm_inicial,populacao_2014,log_populacao,taxa_icsap_pre,taxa_clinicas_pre,taxa_icsap_pos,mudanca_taxa_icsap
521220,JUSSARA,RIO VERMELHO,0,0.0,19402,9.873131432521228,307.1230342275671,416.8979340117175,419.6645310412471,112.54149681368
521225,LAGOA SANTA,SUDOESTE I,0,0.0,1406,7.2485040723706105,156.86274509803923,156.86274509803923,59.88025436035705,-96.98249073768218
521230,LEOPOLDO DE BULHOES,CENTRO SUL,0,0.0,8150,9.005773206234908,523.7919586868314,731.8332718554038,395.3581711826962,-128.43378750413524
521250,LUZIANIA,ENTORNO SUL,1,9.0,191139,12.160756191039194,208.77771932341736,265.59535766097537,147.52585423945305,-61.251865083964304
521260,MAIRIPOTABA,CENTRO SUL,0,0.0,2433,7.796880342783522,300.86313193588165,350.18495684340326,254.88688969649775,-45.97624223938391
521270,MAMBAI,NORDESTE II,0,0.0,7772,8.95828281049733,469.1943127962085,657.1879936808847,591.4934992794972,122.29918648328868
521280,MARA ROSA,SERRA DA MESA,0,0.0,10511,9.260177606823355,269.1800188501414,363.0537229029217,205.76767985588805,-63.41233899425333
521290,MARZAGAO,ESTRADA DE FERRO,0,0.0,2184,7.688913336864796,2002.7662517289073,2445.36652835408,576.0773197078929,-1426.6889320210144
521295,MATRINCHA,RIO VERMELHO,0,0.0,4505,8.412943170042439,447.00665188470066,569.4013303769402,340.94462942409666,-106.062022460604
521300,MAURILANDIA,SUDOESTE I,0,0.0,12737,9.45226642258976,163.98945097099013,226.32462239271158,159.22211807628446,-4.767332894705675
521305,MIMOSO DE GOIAS,SAO PATRICIO II,0,0.0,2723,7.909489492673759,96.7032967032967,123.07692307692308,167.30071710258903,70.59742039929233
521308,MINACU,NORTE,0,0.0,31206,10.348365663001127,197.29798623502418,274.53479479989807,223.21478720992462,25.91680097490044
521310,MINEIROS,SUDOESTE II,0,0.0,59275,10.989942910933607,264.5447969412008,384.0033068099617,256.5529677481351,-7.991829193065712
